objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,Grand_Canyon_National_Park_Canyon_Wren_1.mp4,,,National Park Service audio recording - Grand Canyon National Park - Canyon Wren 1,National Park Service,2006-08-06,audio tracks of animal sounds,canyon wren; catherpes mexicanus; birds; places; nature sounds,Grand Canyon National Park; Arizona,36.3042826,-112.7906529,"NatureServe; J. Willard Marriott Library, University of Utah, Salt Lake City, Utah 84112",1118642,Sound,video/.mp4,eng,Attribution-NonCommercial-NoDerivs 3.0 United States,https://creativecommons.org/licenses/by-nc-nd/3.0/us/
coll002,Grand_Canyon_Map.jpg,,,Grand Canyon Map,"Wegener, Bruce H.",1972,Relief shown by shading and spot heights.; Shows location of rapids on Colorado River and trails.; Color,Grand Canyon National Park,Grand Canyon National Park; Arizona,36.3042826,-112.7906529,"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",agsmap028319,Image; map; cartographic image,image/jpeg,eng,The Board of Regents of the University of Wisconsin System,https://www.wisconsin.edu/regents/policies/
coll003,Grand_Canyon_National_Park_Coyotes_1.mp4,,,National Park Service audio recording - Grand Canyon National Park - Coyotes 1,National Park Service,2005-05-21,audio tracks of animal sounds,Coyote; mammals; places; nature sounds,Grand Canyon National Park; Arizona,36.3042826,-112.7906529,"NatureServe; J. Willard Marriott Library, University of Utah, Salt Lake City, Utah 84112",1118638,Sound,video/.mp4,eng,Attribution-NonCommercial-NoDerivs 3.0 United States,https://creativecommons.org/licenses/by-nc-nd/3.0/us/
coll004,grand_canyon_postcard.jpg,,,Grand Canyon Postcard,,1900,Post Card of the Grand Canyon,Grand Canyon National Park,Grand Canyon National Park; Arizona,36.3042826,-112.7906529,"Postcard Collection, The New York Public Library Digital Collections",MFY 95-29,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll005,Grand_Canyon_Havasu_Canyon.jpg,,,Grand Canyon Havasu Canyon,,1950-1979,Color slide image of a scene in Havasu Canyon,"Havasu Canyon, Grand Canyon, Arizona",,36.30833,-112.76135,Slides,p0781n1_12_25,Image;StillImage,image/jpeg,eng,Copyright Not Evaluated,https://rightsstatements.org/page/CNE/1.0/?language=en
coll006,sanxavier_facade.jpg,,,San Xavier del Bac Facade,,1783-1797,"Photo of San Xavier del Bac facade in Tucson, Arizona.","Churches;Mission San Xavier del Bac;Tucson, Arizona","Tucson, Arizona; United States",32.10778171,-111.0085225,Hagrett Library (University of Georgia),,Image;StillImage,image/jpeg,eng,In Copyright - Educational Use Permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/
coll007,sanxavier_interior.jpg,,,San Xavier del Bac Interior,,1783-1797,"Photo of San Xavier del Bac facade in Tucson, Arizona.","Churches;Mission San Xavier del Bac;Tucson, Arizona","Tucson, Arizona; United States",32.10778171,-111.0085225,Hagrett Library (University of Georgia),,Image;StillImage,image/jpeg,eng,In Copyright - Educational Use Permitted,http://rightsstatements.org/vocab/InC-EDU/1.0/
coll008,sanxavier_generalview.jpg,,,San Xavier del Bac General View,"Velderrain, Juan Bautista; Llorenz, Juan Bautista",1783-1797,"Photo of San Xavier del Bac General View in Tucson, Arizona","Churches;Mission San Xavier del Bac;Tucson, Arizona","Tucson, Arizona; United States",32.10778171,-111.0085225,"Art, Architecture and Engineering Libary (University of Michigan Library)",LS008937,Image;StillImage,image/jpeg,eng,"The University of Michigan Library provides access to these materials for educational and research purposes. These materials may be protected by copyright. If you decide to use any of these materials, you are responsible for making your own legal assessment and securing any necessary permission. If you have questions about the collection, please contact the Art, Architecture and Engineering Library. If you have concerns about the inclusion of an item in this collection, please contact Library Information Technology.",
coll009,sanxavier_rearview.jpg,,,San Xavier del Bac Rear View,"Velderrain, Juan Bautista; Llorenz, Juan Bautista",1783-1797,Photo of San Xavier del Bac Rear View,"Churches;Mission San Xavier del Bac;Tucson, Arizona","Tucson, Arizona; United States",32.10778171,-111.0085225,"Art, Architecture and Engineering Libary (University of Michigan Library)",LS008939,Image;StillImage,image/jpeg,eng,"The University of Michigan Library provides access to these materials for educational and research purposes. These materials may be protected by copyright. If you decide to use any of these materials, you are responsible for making your own legal assessment and securing any necessary permission. If you have questions about the collection, please contact the Art, Architecture and Engineering Library. If you have concerns about the inclusion of an item in this collection, please contact Library Information Technology.",
coll010,sanxavier_southeast.jpg,,,San Xavier del Bac Southeast View,"Thresher, G.P. (George P.)",1898-1910,"Photo of San Xavier del Bac Southeast View in Tucson, Arizona","Churches;Mission San Xavier del Bac;Tucson, Arizona","Tucson, Arizona; United States",32.10778171,-111.0085225,"The Huntington Library, Art Museum, and Botanical Gardens",420288,Image;StillImage,image/jpeg,eng,"For information on use of Digital Library materials, please see Library Rights and Permissions: https://www.huntington.org/library-rights-permissions",https://www.huntington.org/library-rights-permissions
